Wed Dec 23 10:53:59 Log file reset
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\METRIC.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PADSTACK.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PC104.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PCI.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PCON100T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PCON156T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PGA.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\PLCC.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\QUAD.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\QUADB.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\RELAY.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\RF.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SBUS.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SIMM050F.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SIMM050T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SIMM100F.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SIMM100T.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SIP.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SM.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\THU VIEN LAYOUT 25-12-2006.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ED_ORCAD_LIB.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\EMBEDDED2007.LLB
Wed Dec 23 10:55:48 Footprint coords will be rounded to nearest base unit.
Wed Dec 23 10:55:48 Footprint coords will be rounded to nearest base unit.
Wed Dec 23 10:55:48 Footprint coords will be rounded to nearest base unit.
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ATMEGA328.LLB
Wed Dec 23 10:55:48 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ED_ORCAD_LIB.LLB
Wed Dec 23 10:55:56 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\DEFAULT.MAX
Wed Dec 23 10:55:56 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:55:56 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:56:13 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
